"","V1","V2"
"1","very positive",1
"2","love",1
"3","happy",1
"4","happily",1
"5","generous",1
"6","magnificent",1
"7","enjoyable",1
"8","extremely positive",0.993
"9","passionate",0.99
"10","brilliance",0.99
"11","greatness",0.99
"12","sweetie",0.99
"13","joyful",0.99
"14","cheerful",0.99
"15","happier",0.99
"16","brotherhood",0.99
"17","happiest",0.99
"18","feelgood",0.99
"19","joys",0.981
"20","smiling",0.981
"21","friendliness",0.981
"22","superb",0.98
"23","perfect",0.98
"24","joy",0.98
"25","hugs",0.98
"26","romance",0.98
"27","awesome",0.98
"28","laugh",0.98
"29","fascinating",0.979
"30","lovinglife",0.979
"31","optimistic",0.979
"32","prestigious",0.979
"33","fabulous",0.979
"34","feast",0.979
"35","honeymoon",0.979
"36","merry",0.979
"37","truth",0.971
"38","wonderful",0.971
"39","excellent",0.97
"40","fantastic",0.969
"41","birthday",0.969
"42","harmoniously",0.969
"43","happynewyear",0.969
"44","wonderfully",0.969
"45","lovemaking",0.969
"46","wellness",0.969
"47","admiration",0.969
"48","triumph",0.969
"49","beloved",0.969
"50","cheerfulness",0.969
"51","positively",0.969
"52","goodness",0.969
"53","adventurous",0.969
"54","trustworthy",0.969
"55","adorable",0.969
"56","extraordinary",0.969
"57","freedom",0.969
"58","thankful",0.969
"59","marvelously",0.968
"60","family",0.968
"61","inspired",0.967
"62","kiss",0.967
"63","greatly positive",0.967
"64","liking",0.963
"65","honorable",0.963
"66","memories",0.963
"67","marvel",0.961
"68","goodday",0.961
"69","goodnews",0.961
"70","amusing",0.96
"71","congratulations",0.96
"72","lucky",0.96
"73","winner",0.96
"74","happiness",0.96
"75","glorious",0.959
"76","sweetheart",0.959
"77","positivity",0.959
"78","confidence",0.959
"79","talent",0.959
"80","loveliness",0.959
"81","christmas",0.959
"82","tasty",0.959
"83","congratulatory",0.959
"84","success",0.959
"85","enjoy",0.959
"86","laughter",0.959
"87","fiancee",0.959
"88","scrumptious",0.959
"89","positive",0.959
"90","efficient",0.959
"91","satisfied",0.959
"92","satisfactory",0.959
"93","sweetest",0.959
"94","jolly",0.959
"95","sky",0.958
"96","rewarding",0.958
"97","great",0.958
"98","friendship",0.958
"99","excellence",0.958
"100","thank",0.958
"101","generosity",0.958
"102","abundant",0.958
"103","grateful",0.958
"104","awards",0.958
"105","celebrations",0.958
"106","humorist",0.958
"107","motivating",0.958
"108","joyous",0.958
"109","productivity",0.958
"110","riches",0.958
"111","enlightened",0.956
"112","winning",0.955
"113","decorate",0.954
"114","applause",0.953
"115","encouraged",0.953
"116","favorable",0.952
"117","respectful",0.951
"118","praised",0.95
"119","goodies",0.95
"120","exciting",0.95
"121","jackpot",0.95
"122","tenderness",0.949
"123","affectionate",0.949
"124","optimism",0.949
"125","illuminating",0.949
"126","successful",0.949
"127","innovation",0.949
"128","sohappy",0.949
"129","peacetime",0.949
"130","winnings",0.949
"131","embrace",0.949
"132","cheery",0.949
"133","lovee",0.949
"134","happyheart",0.949
"135","smiled",0.949
"136","harmony",0.949
"137","triumphant",0.949
"138","guarantee",0.949
"139","delight",0.949
"140","pleasurable",0.948
"141","lovelovelove",0.948
"142","reward",0.948
"143","prosperous",0.948
"144","hearts",0.948
"145","holiday",0.948
"146","marvelous",0.948
"147","loving",0.948
"148","lovable",0.948
"149","party",0.948
"150","majestic",0.948
"151","cheers",0.948
"152","thrive",0.948
"153","congratulation",0.948
"154","graciously",0.948
"155","merriment",0.948
"156","glory",0.948
"157","engaging",0.948
"158","spectacular",0.947
"159","luxurious",0.947
"160","hopeful",0.947
"161","trophy",0.947
"162","superman",0.945
"163","energy",0.944
"164","amused",0.942
"165","positiveenergy",0.94
"166","rosy",0.94
"167","sweetened",0.94
"168","glowing",0.94
"169","glorify",0.94
"170","hero",0.94
"171","feelinggood",0.94
"172","brilliant",0.939
"173","memorable",0.939
"174","peace",0.939
"175","great surprise",0.939
"176","holidays",0.939
"177","flourish",0.939
"178","familytime",0.939
"179","gold",0.939
"180","great trust",0.939
"181","pleased",0.939
"182","pleasant",0.939
"183","talented",0.939
"184","wonder",0.939
"185","pleasure",0.939
"186","harmonize",0.939
"187","celebration",0.939
"188","goodfeeling",0.939
"189","satisfaction",0.939
"190","inspiration",0.938
"191","spiritual",0.938
"192","liberty",0.938
"193","honored",0.938
"194","earnings",0.938
"195","creativity",0.938
"196","charmed",0.938
"197","harmonious",0.938
"198","goodwill",0.938
"199","inviting",0.938
"200","honesty",0.938
"201","good",0.938
"202","cheer",0.938
"203","glad",0.938
"204","happyplace",0.938
"205","youth",0.938
"206","charisma",0.938
"207","charismatic",0.938
"208","brightness",0.938
"209","sensational",0.938
"210","kindness",0.938
"211","attractiveness",0.938
"212","concert",0.938
"213","goodhealth",0.938
"214","healthy",0.938
"215","victory",0.938
"216","opportunity",0.938
"217","almighty",0.938
"218","newyear",0.938
"219","delighted",0.938
"220","enthusiasm",0.938
"221","courteous",0.937
"222","refreshing",0.936
"223","romantic",0.936
"224","breathtaking",0.936
"225","health",0.935
"226","prosper",0.935
"227","calmness",0.934
"228","bestfriends",0.934
"229","luxury",0.932
"230","melodious",0.932
"231","mother",0.931
"232","travel",0.931
"233","befriend",0.93
"234","healthful",0.93
"235","nice",0.93
"236","congrats",0.93
"237","profit",0.93
"238","enjoyment",0.93
"239","wisdom",0.93
"240","thrilling",0.93
"241","candy",0.93
"242","comfy",0.93
"243","virtuoso",0.929
"244","blessings",0.929
"245","bless",0.929
"246","amusement",0.929
"247","advancing",0.929
"248","wonderment",0.929
"249","friends",0.929
"250","accomplish",0.929
"251","admirable",0.929
"252","happyvalentinesday",0.929
"253","improves",0.929
"254","happyday",0.929
"255","blessing",0.929
"256","creation",0.927
"257","wealthy",0.927
"258","interesting",0.927
"259","diamonds",0.927
"260","loveee",0.927
"261","hope",0.927
"262","fiesta",0.927
"263","angelic",0.927
"264","comfortable",0.927
"265","win",0.927
"266","thanksgiving",0.927
"267","polite",0.927
"268","fortunate",0.927
"269","mom",0.927
"270","welcomed",0.927
"271","delicious",0.927
"272","carnival",0.927
"273","courtesy",0.927
"274","honest",0.927
"275","loved",0.927
"276","celebrating",0.927
"277","inspirational",0.927
"278","heartily",0.927
"279","respect",0.927
"280","gentleness",0.927
"281","motherly",0.927
"282","happyholidays",0.927
"283","relax",0.927
"284","treasure",0.927
"285","congratulate",0.927
"286","splendor",0.927
"287","fortune",0.926
"288","tearsofjoy",0.926
"289","succeed",0.926
"290","masterpiece",0.926
"291","kudos",0.925
"292","cheerleader",0.923
"293","greatful",0.923
"294","vitality",0.923
"295","miracles",0.922
"296","goodmorning",0.922
"297","savior",0.92
"298","gorgeous",0.92
"299","charity",0.92
"300","cute",0.92
"301","truthfulness",0.92
"302","somewhat positive",0.92
"303","honey",0.92
"304","improved",0.919
"305","tasteful",0.918
"306","luminous",0.918
"307","newborn",0.918
"308","funny",0.918
"309","glamorous",0.918
"310","gentlemanly",0.918
"311","divine",0.918
"312","amazingly",0.918
"313","adornment",0.918
"314","greatnight",0.918
"315","kind",0.918
"316","prestige",0.918
"317","entertain",0.918
"318","glow",0.918
"319","life",0.918
"320","comedy",0.918
"321","gracious",0.918
"322","elegance",0.918
"323","delightful",0.918
"324","fun",0.918
"325","teamwork",0.918
"326","inspire",0.918
"327","brighter",0.918
"328","courageous",0.918
"329","recover",0.918
"330","sincere",0.918
"331","thanks",0.918
"332","enchanted",0.917
"333","charming",0.917
"334","goodlife",0.917
"335","emotive",0.917
"336","zest",0.917
"337","pleasing",0.917
"338","miracle",0.917
"339","gain",0.917
"340","advantage",0.917
"341","prosperity",0.917
"342","comic",0.917
"343","lovely",0.917
"344","gently",0.917
"345","admired",0.917
"346","credible",0.917
"347","awesomeness",0.917
"348","friendly",0.917
"349","celebrate",0.917
"350","classy",0.917
"351","growth",0.917
"352","approving",0.917
"353","creative",0.917
"354","precious",0.917
"355","hopes",0.917
"356","accomplishment",0.917
"357","sporting",0.917
"358","exhilarating",0.917
"359","millionaire",0.917
"360","intelligent",0.917
"361","brethren",0.917
"362","appreciation",0.917
"363","tranquil",0.917
"364","thanking",0.917
"365","enchanting",0.917
"366","genteel",0.917
"367","reliability",0.917
"368","adventure",0.917
"369","luckiest",0.917
"370","freshness",0.917
"371","new",0.917
"372","gem",0.917
"373","allegiance",0.917
"374","cuddling",0.917
"375","remembered",0.916
"376","sister",0.916
"377","jubilee",0.916
"378","famous",0.916
"379","shopping",0.915
"380","phenomenal",0.915
"381","liberating",0.915
"382","grow",0.914
"383","felicity",0.913
"384","strengthening",0.913
"385","strong",0.912
"386","reliable",0.912
"387","child",0.912
"388","recommendation",0.912
"389","improving",0.911
"390","chum",0.911
"391","commendation",0.911
"392","gourmet",0.911
"393","sweets",0.91
"394","appreciated",0.91
"395","cozy",0.91
"396","goodtimes",0.91
"397","journey",0.91
"398","superhero",0.91
"399","adorn",0.91
"400","refreshed",0.91
"401","blessed",0.91
"402","diamond",0.91
"403","assure",0.91
"404","autobiographical",0.909
"405","recreation",0.909
"406","womanly",0.909
"407","pajama",0.908
"408","sweeten",0.908
"409","respected",0.908
"410","gallant",0.908
"411","puppy",0.908
"412","enjoying",0.908
"413","worthwhile",0.908
"414","excited",0.908
"415","thanksalot",0.908
"416","produce",0.908
"417","affirmatively",0.908
"418","sincerity",0.908
"419","daughter",0.908
"420","hug",0.908
"421","greatfriends",0.908
"422","fresh",0.908
"423","overjoyed",0.908
"424","comprehension",0.908
"425","musical",0.908
"426","starlight",0.908
"427","decorative",0.908
"428","lifesaver",0.908
"429","oxygen",0.908
"430","socialize",0.907
"431","rest",0.907
"432","amazing",0.906
"433","togetherness",0.906
"434","angel",0.906
"435","attraction",0.906
"436","laughing",0.906
"437","noble",0.906
"438","benefit",0.906
"439","acquainted",0.906
"440","grace",0.906
"441","gallantry",0.906
"442","smart",0.906
"443","xmas",0.906
"444","excitability",0.906
"445","company",0.906
"446","cuddled",0.906
"447","gleeful",0.906
"448","attractive",0.906
"449","proud",0.906
"450","friend",0.906
"451","familiar",0.906
"452","commend",0.906
"453","sunlight",0.906
"454","praising",0.906
"455","graceful",0.906
"456","flowering",0.906
"457","engagement",0.906
"458","motivational",0.906
"459","versatile",0.906
"460","caviar",0.906
"461","prized",0.906
"462","smile",0.906
"463","promotion",0.906
"464","intellectual",0.906
"465","sweetness",0.906
"466","agreeable",0.906
"467","comforting",0.906
"468","agree",0.906
"469","humorous",0.906
"470","resourceful",0.906
"471","illuminate",0.905
"472","pearl",0.905
"473","resplendent",0.905
"474","welcoming",0.905
"475","heartfelt",0.904
"476","reminisce",0.903
"477","parentage",0.903
"478","perk",0.903
"479","generation",0.903
"480","entertained",0.902
"481","gifted",0.902
"482","reasonable",0.902
"483","dearest",0.902
"484","caramel",0.901
"485","peacefully",0.901
"486","serenity",0.9
"487","traveling",0.9
"488","inheritance",0.9
"489","thankyougod",0.9
"490","fellowship",0.9
"491","grandiose",0.9
"492","valuable",0.899
"493","influential",0.899
"494","originality",0.898
"495","safe",0.898
"496","affection",0.898
"497","thrilled",0.898
"498","beautify",0.898
"499","newlife",0.898
"500","bravery",0.898
"501","outstanding",0.898
"502","innovate",0.898
"503","grand",0.898
"504","cooperate",0.898
"505","fantasia",0.898
"506","betterment",0.898
"507","graduate",0.898
"508","welcome",0.898
"509","accord",0.898
"510","equality",0.898
"511","loyal",0.896
"512","fulfilled",0.896
"513","divinity",0.896
"514","quality",0.896
"515","paycheck",0.896
"516","sugar",0.896
"517","gladness",0.896
"518","desire",0.896
"519","lunchtime",0.896
"520","fruit",0.896
"521","encourage",0.896
"522","splendid",0.896
"523","cherish",0.896
"524","education",0.896
"525","personality",0.896
"526","free",0.896
"527","heaven",0.896
"528","independence",0.896
"529","reconciliation",0.896
"530","fame",0.896
"531","popularity",0.896
"532","lovemylife",0.896
"533","TRUE",0.896
"534","pleasures",0.896
"535","gaming",0.896
"536","view",0.896
"537","belief",0.896
"538","richness",0.896
"539","virtue",0.896
"540","whiz",0.896
"541","marry",0.896
"542","great aunt",0.896
"543","achieved",0.896
"544","clever",0.896
"545","moderate positive",0.896
"546","amaze",0.896
"547","honor",0.896
"548","perky",0.896
"549","victoria",0.896
"550","enrich",0.896
"551","relieved",0.896
"552","artwork",0.896
"553","birth",0.896
"554","excitement",0.896
"555","achievement",0.896
"556","recreational",0.896
"557","captivating",0.895
"558","makesmehappy",0.894
"559","dance",0.894
